Date,Width,Height,Segments,Average Rate,Injection Volume
2016/10/29,0.309073792,0.880725257,1.285714286,0.940584585,181.3984557
2016/11/22,0.309073792,0.685008533,1,1.283088852,192.4633278
2016/11/2,0.309073792,0.782866895,1.142857143,1.234159671,211.5702293
2016/11/26,0.309073792,0.831796076,1.214285714,1.454340985,264.8978223
2016/10/30,0.309073792,1.418946247,2.071428571,1.405411804,436.6815249
2016/11/27,0.309073792,0.782866895,1.142857143,1.821309842,312.2245444
2016/11/10,0.309073792,0.782866895,1.142857143,1.821309842,312.2245444
2016/11/28,0.309073792,0.831796076,1.214285714,1.845774433,336.1946288
2016/11/30,0.309073792,0.733937714,1.071428571,2.041491156,328.096793
2016/11/15,0.309073792,0.733937714,1.071428571,2.041491156,328.096793
2016/11/22,0.309073792,0.782866895,1.142857143,2.359530832,404.4909998
2016/10/31,0.309073792,0.733937714,1.071428571,2.579712146,414.596595
2016/11/28,0.309073792,0.733937714,1.071428571,2.873287232,461.7783052
2016/10/26,0.309073792,1.761450513,2.571428571,2.946681003,1136.576958
2016/11/13,0.309073792,0.880725257,1.285714286,3.631689536,700.3972677
2016/11/11,0.309073792,1.321087885,1.928571429,3.509366584,1015.209619
2016/11/16,0.309073792,0.831796076,1.214285714,3.80294167,692.6786613
2016/11/15,0.309073792,0.831796076,1.214285714,3.80294167,692.6786613
2016/11/14,0.309073792,1.0275128,1.5,3.705083308,833.6437443
2016/10/28,0.309073792,0.782866895,1.142857143,3.82740626,656.1267875
2016/11/12,0.309073792,2.250742323,3.285714286,3.240256089,1596.983358
2016/11/25,0.309073792,0.782866895,1.142857143,4.023122984,689.6782258
2016/11/6,0.309073792,1.223229523,1.785714286,3.80294167,1018.64509
2016/11/2,0.309073792,0.880725257,1.285714286,4.072052165,785.3243461
2016/11/7,0.309073792,1.761450513,2.571428571,3.778477079,1457.412588
2016/10/31,0.309073792,1.418946247,2.071428571,3.949729212,1227.237291
2016/11/8,0.309073792,1.223229523,1.785714286,4.096516755,1097.281274
2016/11/5,0.309073792,1.07644198,1.571428571,4.169910527,982.9074813
2016/11/4,0.309073792,1.0275128,1.5,4.194375117,943.7344014
2016/11/3,0.309073792,1.07644198,1.571428571,4.169910527,982.9074813
2016/11/1,0.309073792,1.712521333,2.5,3.851870851,1444.451569
2016/10/27,0.309073792,1.761450513,2.571428571,3.925264622,1514.03064
2016/11/26,0.309073792,1.614662971,2.357142857,4.145445936,1465.711242
2016/11/22,0.309073792,0.880725257,1.285714286,4.512414793,870.2514244
2016/11/19,0.309073792,0.880725257,1.285714286,4.805989879,926.8694766
2016/11/10,0.309073792,2.397529866,3.5,4.047587574,2124.983477
2016/11/9,0.309073792,2.201813142,3.214285714,4.292233479,2069.469713
2016/11/21,0.309073792,0.831796076,1.214285714,5.124029555,933.3053832
2016/11/22,0.309073792,0.880725257,1.285714286,7.105661382,1370.377552
2016/11/19,0.309073792,0.831796076,1.214285714,7.815134506,1423.470928
2016/11/18,0.309073792,0.831796076,1.214285714,8.598001401,1566.064541
2016/11/20,0.309073792,1.125371161,1.642857143,8.598001401,2118.793202
2016/11/29,0.309073792,2.495388227,3.642857143,7.961922049,4350.621691
2016/11/26,0.309073792,1.321087885,1.928571429,8.54907222,2473.124464
2016/11/30,0.309073792,2.788963313,4.071428571,7.961922049,4862.459537
2016/11/28,0.309073792,1.272158704,1.857142857,8.720324353,2429.233213
2016/12/1,0.309073792,3.082538399,4.5,7.864063687,5308.242989
2016/11/27,0.309073792,2.250742323,3.285714286,8.328890906,4104.953375
2016/11/21,0.309073792,1.859308875,2.714285714,8.671395172,3530.496606
2016/11/25,0.309073792,1.56573379,2.285714286,9.747837153,3342.115595
2016/11/18,0.309073792,1.174300342,1.714285714,9.992483057,2569.495643
2016/11/23,0.309073792,2.10395478,3.071428571,10.26159355,4727.662744
2016/11/19,0.309073792,2.299671504,3.357142857,10.26159355,5167.445325
2016/11/17,0.309073792,0.831796076,1.214285714,11.43589389,2082.966388
2016/11/24,0.309073792,2.055025599,3,10.87320831,4892.943741
2016/11/20,0.309073792,2.201813142,3.214285714,10.79981454,5207.05344
2016/11/18,0.309073792,1.272158704,1.857142857,11.4114293,3178.898163
2016/11/22,0.309073792,2.788963313,4.071428571,10.8976729,6655.364524
2016/11/21,0.309073792,2.10395478,3.071428571,11.24017717,5178.510197
