sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
1157.--.DHZ,trad_p,0,1,0.0,0.0,1.0,0.0
1158.--.DHZ,trad_p,0,1,0.0,0.0,1.0,0.0
1142.--.DHZ,trad_p,1,2,50.0,1.0,2.0,50.0
1155.--.DHZ,trad_p,1,2,50.0,1.0,2.0,50.0
1167.--.DHZ,trad_p,1,2,50.0,1.0,2.0,50.0
1194.--.DHZ,trad_p,1,2,50.0,1.0,2.0,50.0
1146.--.DHZ,trad_p,2,3,66.7,2.0,3.0,66.7
1153.--.DHZ,trad_p,2,3,66.7,2.0,3.0,66.7
1187.--.DHZ,trad_p,2,3,66.7,2.0,3.0,66.7
1107.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1108.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1109.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1111.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1114.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1118.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1121.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1122.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1125.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1130.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1131.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1135.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1136.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1143.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1148.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1151.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1160.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1161.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1164.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1166.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1168.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1171.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1178.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1179.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1180.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1192.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1209.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1210.--.DHZ,trad_p,3,3,100.0,3.0,3.0,100.0
1112.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1113.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1116.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1119.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1123.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1126.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1127.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1128.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1138.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1139.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1140.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1147.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1150.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1152.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1159.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1175.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1177.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1182.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1193.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1215.--.DHZ,trad_p,2,2,100.0,2.0,2.0,100.0
1120.--.DHZ,trad_p,1,1,100.0,1.0,1.0,100.0
1129.--.DHZ,trad_p,1,1,100.0,1.0,1.0,100.0
1132.--.DHZ,trad_p,1,1,100.0,1.0,1.0,100.0
1133.--.DHZ,trad_p,1,1,100.0,1.0,1.0,100.0
1141.--.DHZ,trad_p,1,1,100.0,1.0,1.0,100.0
1165.--.DHZ,trad_p,1,1,100.0,1.0,1.0,100.0
1174.--.DHZ,trad_p,1,1,100.0,1.0,1.0,100.0
1176.--.DHZ,trad_p,1,1,100.0,1.0,1.0,100.0
1186.--.DHZ,trad_p,1,1,100.0,1.0,1.0,100.0
1190.--.DHZ,trad_p,1,1,100.0,1.0,1.0,100.0
